chart,Time,close,num,imacd,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.07.15 05:00:00,1.12701,474,0.000331749,0.00053,,0,0
EURUSD,2019.07.15 04:00:00,1.12689,475,0.000332842,0,,0.00049,4.00E-05
EURUSD,2019.07.15 03:00:00,1.12735,476,0.000341614,9.00E-05,,0,0
EURUSD,2019.07.15 02:00:00,1.12705,477,0.000301005,0,,0.00017,6.00E-05
EURUSD,2019.07.15 01:00:00,1.12713,478,0.00027534,2.00E-05,,0,0
EURUSD,2019.07.15 00:00:00,1.12667,479,0.000230433,0,,0.00038,0.00014
EURUSD,2019.07.12 23:00:00,1.12685,480,0.000216598,0,,0.00015,7.00E-05
EURUSD,2019.07.12 22:00:00,1.12706,481,0.000177463,0,,0.00025,0.00015
EURUSD,2019.07.12 21:00:00,1.12713,482,0.00010355,1.00E-04,,0,0
EURUSD,2019.07.12 20:00:00,1.12669,483,5.76E-07,0,,0.00038,0.00023
EURUSD,2019.07.12 19:00:00,1.12671,484,-8.61E-05,9.00E-05,,0,0
EURUSD,2019.07.12 18:00:00,1.12532,485,-0.000197435,0.00021,,0,0
EURUSD,2019.07.12 17:00:00,1.12513,486,-0.000195184,0.00046,,0,0
EURUSD,2019.07.12 16:00:00,1.12481,487,-0.000170127,0.00036,,0,0
EURUSD,2019.07.12 15:00:00,1.12444,488,-0.000103088,0,,0.00067,0.00063
EURUSD,2019.07.12 14:00:00,1.12468,489,2.16E-05,0,,0.00012,0.00029
EURUSD,2019.07.12 13:00:00,1.12573,490,0.000156109,0.00031,,0,0
EURUSD,2019.07.12 12:00:00,1.12562,491,0.000218549,0,,0.00021,0.00043
EURUSD,2019.07.12 11:00:00,1.12616,492,0.000306266,0,,6.00E-05,0.00053
EURUSD,2019.07.12 10:00:00,1.12644,493,0.000358788,0,,0.00032,0.00028
EURUSD,2019.07.12 09:00:00,1.12713,494,0.000392097,0,,0.0005,3.00E-05
EURUSD,2019.07.12 08:00:00,1.12727,495,0.000358654,0.00013,,0,0
EURUSD,2019.07.12 07:00:00,1.12708,496,0.000296497,0,,0.00016,0.0002
EURUSD,2019.07.12 06:00:00,1.12713,497,0.000232195,0.00017,,0,0
EURUSD,2019.07.12 05:00:00,1.12654,498,0.000141654,0.00015,,0,0
EURUSD,2019.07.12 04:00:00,1.12637,499,8.41E-05,7.00E-05,,0,0
EURUSD,2019.07.12 03:00:00,1.1258,500,2.67E-05,6.00E-05,,0,0
EURUSD,2019.07.12 02:00:00,1.12493,501,1.12E-05,0,,5.00E-05,6.00E-05
EURUSD,2019.07.12 01:00:00,1.12559,502,7.97E-05,0,,0,0
EURUSD,2019.07.12 00:00:00,1.12523,503,9.88E-05,1.00E-05,,0,0
EURUSD,2019.07.11 23:00:00,1.12523,504,0.00015843,0,,0.00018,0
EURUSD,2019.07.11 22:00:00,1.12564,505,0.000232222,0,,0.00021,0.00035
EURUSD,2019.07.11 21:00:00,1.12572,506,0.000281285,1.00E-05,,0,0
EURUSD,2019.07.11 20:00:00,1.12512,507,0.000331669,0,,0.00061,0.00038
EURUSD,2019.07.11 19:00:00,1.12538,508,0.000452244,0,,0.00091,0.00019
EURUSD,2019.07.11 18:00:00,1.12591,509,0.000573091,0.00017,,0,0
EURUSD,2019.07.11 17:00:00,1.12523,510,0.000665037,0,,0.00021,0.00036
EURUSD,2019.07.11 16:00:00,1.12567,511,0.000841956,0,,0.00056,0.0005
EURUSD,2019.07.11 15:00:00,1.12669,512,0.001010722,0,,0.00053,0.00084
EURUSD,2019.07.11 14:00:00,1.12768,513,0.001107573,0.00069,,0,0
EURUSD,2019.07.11 13:00:00,1.12711,514,0.00111428,0.00024,,0,0
EURUSD,2019.07.11 12:00:00,1.12658,515,0.001164669,0,,0,0
EURUSD,2019.07.11 11:00:00,1.12731,516,0.001266007,0,,0.00019,0.00013
EURUSD,2019.07.11 10:00:00,1.12765,517,0.001302609,0.00015,,0,0
EURUSD,2019.07.11 09:00:00,1.1269,518,0.001295762,0,,0.00027,0.0003
EURUSD,2019.07.11 08:00:00,1.12697,519,0.001344538,0,,6.00E-05,0.00031
EURUSD,2019.07.11 07:00:00,1.12752,520,0.001380111,0,,0.00011,7.00E-05
EURUSD,2019.07.11 06:00:00,1.12778,521,0.001349439,8.00E-05,,0,0
EURUSD,2019.07.11 05:00:00,1.12724,522,0.001264191,3.00E-05,,0,0
EURUSD,2019.07.11 04:00:00,1.12614,523,0.001191976,0.0003,,0,0
EURUSD,2019.07.11 03:00:00,1.12606,524,0.001194466,3.00E-05,,0,0
EURUSD,2019.07.11 02:00:00,1.1258,525,0.001188415,0,,0.00028,4.00E-05
EURUSD,2019.07.11 01:00:00,1.12591,526,0.001189879,3.00E-05,,0,0
EURUSD,2019.07.11 00:00:00,1.12527,527,0.00116324,1.00E-04,,0,0
EURUSD,2019.07.10 23:00:00,1.12492,528,0.001177483,0,,2.00E-05,3.00E-05
EURUSD,2019.07.10 22:00:00,1.1253,529,0.001214172,2.00E-05,,0,0
EURUSD,2019.07.10 21:00:00,1.12522,530,0.001204648,0,,0.00016,0.00077
EURUSD,2019.07.10 20:00:00,1.12532,531,0.001183116,0,,8.00E-05,0.00016
EURUSD,2019.07.10 19:00:00,1.12587,532,0.001128242,0,,0.00065,0.00044
EURUSD,2019.07.10 18:00:00,1.12595,533,0.000985793,0.00101,,0,0
EURUSD,2019.07.10 17:00:00,1.12524,534,0.000781491,0.00036,,0,0
EURUSD,2019.07.10 16:00:00,1.12386,535,0.000581651,0,,0.0002,0.00033
EURUSD,2019.07.10 15:00:00,1.12494,536,0.000458631,8.00E-05,,0,0
EURUSD,2019.07.10 14:00:00,1.1213,537,0.000184979,0,,0.00013,0.00012
EURUSD,2019.07.10 13:00:00,1.12162,538,0.000203627,0,,6.00E-05,0
EURUSD,2019.07.10 12:00:00,1.12234,539,0.000191885,0,,0.00043,0.00043
EURUSD,2019.07.10 11:00:00,1.12245,540,0.000100797,1.00E-05,,0,0
EURUSD,2019.07.10 10:00:00,1.12141,541,-2.81E-05,0.00043,,0,0
EURUSD,2019.07.10 09:00:00,1.12121,542,-8.64E-05,0.00061,,0,0
